# SUBTLEX-US word frequencies — the 20,000 most frequent surface forms.
#
# Brysbaert, M., & New, B. (2009). Moving beyond Kučera and Francis: A critical
# evaluation of current word frequency norms and the introduction of a new and
# improved word frequency measure for American English. Behavior Research
# Methods, 41(4), 977–990. https://doi.org/10.3758/BRM.41.4.977
#
# Corpus: 51 million words of American English film and television subtitles.
# Obtained through the ISC-licensed repackaging words/subtlex-word-frequencies
# (github.com/words/subtlex-word-frequencies, commit 1b16b4c, 2020-02-13), which
# keeps the Word and FREQcount columns of SUBTLEXus74286wordstextversion.txt.
# The authors permit redistribution of SUBTLEX-US for any purpose. This file is
# that list sorted by count, truncated to the first 20,000 rows, on 2026-09-12.
#
# Columns: rank, word, count. A word is capitalized when the corpus more often
# capitalizes it than not ("I", "Mr", "Congratulations"). Contraction fragments
# ("s", "t", "don") are present because the source splits on apostrophes.
# Surface forms, not lemmas. Generated — do not edit by hand.
313	took	17454
314	yet	17428
315	start	17345
316	called	17341
317	couldn	17336
318	kid	17299
319	tomorrow	17134
320	happy	16993
321	school	16989
322	problem	16833
323	watch	16831
324	bring	16685
325	fucking	16603
326	actually	16439
327	business	16371
328	says	16356
329	hope	16352
330	open	16341
331	already	16246
332	since	16064
333	looks	15886
334	sit	15879
335	Mrs	15858
336	cause	15812
337	alone	15735
338	hard	15700
339	wants	15655
340	stuff	15653
341	turn	15630
342	days	15592
343	friends	15578
344	until	15426
345	few	15393
346	kids	15356
347	honey	15325
348	Dr	15194
349	gone	15135
350	both	15062
351	door	14895
352	later	14889
353	saying	14874
354	such	14852
355	killed	14792
356	having	14752
357	face	14747
358	worry	14638
359	ago	14592
360	five	14558
361	second	14513
362	brother	14481
363	damn	14460
364	case	14403
365	thinking	14353
366	probably	14323
367	beautiful	14266
368	hand	14262
369	check	14228
370	year	14174
371	forget	14130
372	hit	14025
373	lost	13974
374	minutes	13924
375	crazy	13886
376	late	13756
377	phone	13756
378	Nobody	13599
379	end	13559
380	easy	13551
381	doctor	13461
382	Shut	13455
383	under	13358
384	part	13337
385	deal	13330
386	die	13318
387	soon	13140
388	four	13045
389	anyone	13018
390	pay	12985
391	happen	12968
392	true	12921
393	each	12916
394	supposed	12865
395	em	12849
396	eat	12846
397	Jack	12831
398	mine	12800
399	working	12775
400	town	12644
401	afraid	12631
402	drink	12617
403	exactly	12607
404	whatever	12584
405	hurt	12564
406	knows	12492
407	heart	12453
408	gave	12428
409	young	12402
410	everyone	12324
411	chance	12303
412	read	12302
413	makes	12296
414	number	12288
415	taking	12263
416	change	12258
417	anyway	12164
418	week	12164
419	married	12163
420	point	12063
421	hands	12063
422	police	12044
423	word	12013
424	fun	12010
425	wish	11991
426	bit	11987
427	aren	11946
428	game	11926
429	party	11890
430	set	11805
431	cut	11718
432	comes	11656
433	sleep	11625
434	shot	11599
435	anybody	11573
436	ass	11545
437	stand	11536
438	water	11478
439	boys	11432
440	trouble	11401
441	dear	11395
442	couple	11394
443	gets	11364
444	making	11349
445	eyes	11299
446	break	11275
447	story	11260
448	far	11259
449	times	11221
450	Um	11197
451	close	11191
452	means	11136
453	funny	11127
454	goes	11081
455	lady	11071
456	death	11051
457	asked	11029
458	walk	11009
459	fire	10990
460	hours	10959
461	hate	10944
462	gun	10873
463	rest	10861
464	person	10857
465	inside	10775
466	waiting	10767
467	different	10686
468	girls	10626
469	Captain	10622
470	least	10596
471	important	10587
472	Ah	10535
473	also	10528
474	line	10515
475	yours	10441
476	office	10399
